Khởi động quá trình huấn luyện AlphaQuant...
[Epoch 50/1] PnL: +0.00% | Rwd: -4.35 | B/S/H: 15/21/64 | Illegal: 35 | Inact: 46 | VLoss: 0.000 | Ent: 0.000
[Epoch 100/1] PnL: +0.00% | Rwd: -8.70 | B/S/H: 9/12/79 | Illegal: 35 | Inact: 96 | VLoss: 0.000 | Ent: 0.000
[Epoch 150/1] PnL: +0.00% | Rwd: -11.55 | B/S/H: 6/9/85 | Illegal: 35 | Inact: 146 | VLoss: 0.000 | Ent: 0.000
[Epoch 200/1] PnL: +0.00% | Rwd: -16.05 | B/S/H: 5/7/88 | Illegal: 35 | Inact: 196 | VLoss: 0.000 | Ent: 0.000
[Epoch 250/1] PnL: +0.00% | Rwd: -19.80 | B/S/H: 4/6/90 | Illegal: 35 | Inact: 246 | VLoss: 0.000 | Ent: 0.000
[Epoch 300/1] PnL: +0.00% | Rwd: -22.80 | B/S/H: 3/5/92 | Illegal: 35 | Inact: 296 | VLoss: 0.000 | Ent: 0.000
[Epoch 350/1] PnL: +0.00% | Rwd: -27.30 | B/S/H: 3/4/93 | Illegal: 35 | Inact: 346 | VLoss: 0.000 | Ent: 0.000
[Epoch 400/1] PnL: +0.00% | Rwd: -30.60 | B/S/H: 3/4/94 | Illegal: 35 | Inact: 396 | VLoss: 0.000 | Ent: 0.000
[Epoch 450/1] PnL: +0.00% | Rwd: -34.35 | B/S/H: 2/3/94 | Illegal: 35 | Inact: 446 | VLoss: 0.000 | Ent: 0.000
[Epoch 500/1] PnL: +0.00% | Rwd: -38.25 | B/S/H: 2/3/95 | Illegal: 35 | Inact: 496 | VLoss: 0.000 | Ent: 0.000
[Epoch 550/1] PnL: +0.00% | Rwd: -42.30 | B/S/H: 2/3/95 | Illegal: 35 | Inact: 546 | VLoss: 0.000 | Ent: 0.000
[Epoch 600/1] PnL: +0.00% | Rwd: -45.75 | B/S/H: 2/2/96 | Illegal: 35 | Inact: 596 | VLoss: 0.000 | Ent: 0.000
[Epoch 650/1] PnL: +0.00% | Rwd: -49.65 | B/S/H: 2/2/96 | Illegal: 35 | Inact: 646 | VLoss: 0.000 | Ent: 0.000
[Epoch 700/1] PnL: +0.00% | Rwd: -53.40 | B/S/H: 2/2/96 | Illegal: 35 | Inact: 696 | VLoss: 0.000 | Ent: 0.000
[Epoch 750/1] PnL: +0.00% | Rwd: -57.15 | B/S/H: 1/2/97 | Illegal: 35 | Inact: 746 | VLoss: 0.000 | Ent: 0.000
[Epoch 800/1] PnL: +0.00% | Rwd: -60.90 | B/S/H: 1/2/97 | Illegal: 35 | Inact: 796 | VLoss: 0.000 | Ent: 0.000
[Epoch 850/1] PnL: +0.00% | Rwd: -64.80 | B/S/H: 1/2/97 | Illegal: 35 | Inact: 846 | VLoss: 0.000 | Ent: 0.000
[Epoch 900/1] PnL: +0.00% | Rwd: -68.55 | B/S/H: 1/2/97 | Illegal: 35 | Inact: 896 | VLoss: 0.000 | Ent: 0.000
[Epoch 950/1] PnL: +0.00% | Rwd: -72.75 | B/S/H: 1/2/97 | Illegal: 35 | Inact: 946 | VLoss: 0.000 | Ent: 0.000
[Epoch 1000/1] PnL: +0.00% | Rwd: -76.20 | B/S/H: 1/1/97 | Illegal: 35 | Inact: 996 | VLoss: 0.000 | Ent: 0.000
[Epoch 1050/1] PnL: +0.00% | Rwd: -79.50 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1046 | VLoss: 0.000 | Ent: 0.000
[Epoch 1100/1] PnL: +0.00% | Rwd: -83.55 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1096 | VLoss: 0.000 | Ent: 0.000
[Epoch 1150/1] PnL: +0.00% | Rwd: -86.70 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1146 | VLoss: 0.000 | Ent: 0.000
[Epoch 1200/1] PnL: +0.00% | Rwd: -90.75 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1196 | VLoss: 0.000 | Ent: 0.000
[Epoch 1250/1] PnL: +0.00% | Rwd: -94.50 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1246 | VLoss: 0.000 | Ent: 0.000
[Epoch 1300/1] PnL: +0.00% | Rwd: -98.55 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1296 | VLoss: 0.000 | Ent: 0.000
[Epoch 1350/1] PnL: +0.00% | Rwd: -102.15 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1346 | VLoss: 0.000 | Ent: 0.000
[Epoch 1400/1] PnL: +0.00% | Rwd: -105.60 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1396 | VLoss: 0.000 | Ent: 0.000
[Epoch 1450/1] PnL: +0.00% | Rwd: -109.65 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1446 | VLoss: 0.000 | Ent: 0.000
[Epoch 1500/1] PnL: +0.00% | Rwd: -113.40 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1496 | VLoss: 0.000 | Ent: 0.000
[Epoch 1550/1] PnL: +0.00% | Rwd: -117.60 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1546 | VLoss: 0.000 | Ent: 0.000
[Epoch 1600/1] PnL: +0.00% | Rwd: -121.05 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1596 | VLoss: 0.000 | Ent: 0.000
[Epoch 1650/1] PnL: +0.00% | Rwd: -124.50 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1646 | VLoss: 0.000 | Ent: 0.000
[Epoch 1700/1] PnL: +0.00% | Rwd: -127.95 | B/S/H: 1/1/98 | Illegal: 35 | Inact: 1696 | VLoss: 0.000 | Ent: 0.000
[Epoch 1750/1] PnL: +0.00% | Rwd: -132.15 | B/S/H: 1/1/99 | Illegal: 35 | Inact: 1746 | VLoss: 0.000 | Ent: 0.000
[Epoch 1800/1] PnL: +0.00% | Rwd: -135.90 | B/S/H: 1/1/99 | Illegal: 35 | Inact: 1796 | VLoss: 0.000 | Ent: 0.000
[Epoch 1850/1] PnL: +0.00% | Rwd: -139.50 | B/S/H: 1/1/99 | Illegal: 35 | Inact: 1846 | VLoss: 0.000 | Ent: 0.000
[Epoch 1900/1] PnL: +0.00% | Rwd: -143.25 | B/S/H: 1/1/99 | Illegal: 35 | Inact: 1896 | VLoss: 0.000 | Ent: 0.000
[Epoch 1950/1] PnL: +0.00% | Rwd: -147.15 | B/S/H: 1/1/99 | Illegal: 35 | Inact: 1946 | VLoss: 0.000 | Ent: 0.000
[Epoch 2000/1] PnL: +0.00% | Rwd: -150.45 | B/S/H: 1/1/99 | Illegal: 35 | Inact: 1996 | VLoss: 0.000 | Ent: 0.000
